ACS-1.1,"Mirror pocket SW (36 crystals) Circle, aluminum",Sun (pink crystals)
ACS-1.2,"Mirror pocket SW (36 crystals) Circle, aluminum",Sun (blue crystals)
ACS-1.3,"Mirror pocket SW (36 crystals) Circle, aluminum",Sun (amethyst crystals)
ACS-1.4,"Mirror pocket SW (36 crystals) Circle, aluminum",Sun (yellow crystals)
ACS-1.5,"Mirror pocket SW (36 crystals) Circle, aluminum",Sun (green crystals)
ACS-2,"Mirror pocket SW (36 crystals) Circle, aluminum, gum rubber",Black Sun
ACS-3,"Mirror pocket SW (45 crystals) Circle, metal",Via Lactea I
ACS-4,"Mirror pocket SW (55 crystals) Square, aluminum",Stars
ACS-5,"Mirror pocket SW (34 crystals) Square, aluminum",Butterfly
ACS-6,"Mirror pocket SW (103 crystals) Circle, metal",Flowers I
ACS-16.1,"Mirror pocket SW (46 crystals) Circle, metal",Waterfall (mix of crystals)
ACS-16.5,"Mirror pocket SW (46 crystals) Circle, metal",Waterfall (black & white crystals)
ACS-17,"Mirror pocket SW (39 crystals) Circle, metal",Comets
ACS-19,"Mirror pocket SW (36 crystals) Circle, metal",Via Lactea II
ACS-21B,"Mirror pocket SW (50 crystals) Circle, metal",Flowers IV (blue crystals)
7600900,"Round pocket mirror with double mirror, aluminum, chrome matte, diamentr 70mm, logo 25 x 25mm, laser engraving",No decor
7601100,"Round pocket mirror with double mirror with crystal stones, aluminum, black gum rubber, diamentr 70mm, logo 45 x 45mm, tampo printing",No decor
7606400,"Round pocket mirror with double mirror, metal chrome matte, diamentr 70mm, logo 45 x 45mm, laser engraving",No decor
CT-1.1,"Tweezers SW (10 crystals) Straight with slant end, stainless steel, gum rubber",Black Simple I
CT-1.2,"Tweezers SW (10 crystals) Straight with slant end, stainless steel, gum rubber",Purple Simple I
CT-1.3,"Tweezers SW (10 crystals) Straight with slant end, stainless steel, gum rubber",Pink Simple I
CT-1.4,"Tweezers SW (10 crystals) Straight with slant end, stainless steel",Simple I
CT-1.5,"Tweezers SW (10 crystals) Straight with slant end, stainless steel, gum rubber",Green Simple I
CT-1.6,"Tweezers SW (10 crystals) Straight with slant end, stainless steel, gum rubber",Tourqouse Simple I
CT-1.7,"Tweezers SW (10 crystals) Straight with slant end, stainless steel, gum rubber",Yellow Simple I
CT-1.8,"Tweezers SW (10 crystals) Straight with slant end, stainless steel, gum rubber",Orange Simple I
CT-8,"Tweezers SW (16 crystals) Orbed with slant end, stainless steel",Simple II (color of the ribbon may vary)
CT-9.1,"Tweezers SW (16 crystals) Orbed with slant end, stainless steel",Black Simple II Pink
CT-9.2,"Tweezers SW (16 crystals) Orbed with slant end, stainless steel",Black Simple II Light Blue
CT-9.3,"Tweezers SW (16 crystals) Orbed with slant end, stainless steel",Black Simple II Yellow
CT-9.4,"Tweezers SW (16 crystals) Orbed with slant end, stainless steel",Black Simple II Purple
CT-9.5,"Tweezers SW (16 crystals) Orbed with slant end, stainless steel",Black Simple II Green
CT-13,"Tweezers SW (24 crystals) Curly with slant end, stainless steel",Wave (color of the ribbon may vary)
CT-18.1,"Tweezers SW (8 crystals) Straight with slant end, stainless steel",Mini Crystal
CT-18.2,"Tweezers SW (8 crystals) Straight with slant end, stainless steel",Mini Pink
CT-18.3,"Tweezers SW (8 crystals) Straight with slant end, stainless steel",Mini Dark Blue
CT-18.5,"Tweezers SW (8 crystals) Straight with slant end, stainless steel",Mini Green
CT-18.6,"Tweezers SW (8 crystals) Straight with slant end, stainless steel",Mini Light Blue
CT-18.7,"Tweezers SW (8 crystals) Straight with slant end, stainless steel",Mini Light Pink
CT-20.1,"Tweezers SW (40 crystals) Curly with slant end, chrome metal",Shining (yellow crystals)
CT-20.3,"Tweezers SW (40 crystals) Curly with slant end, chrome metal",Shining (blue crystals)
CT-26,"Tweezers SW (10 crystals) Straight with slant end, stainless steel",Line
pCT1.1,"Tweezers, straight with slant end, stainless steel, gum rubber",No decor
pCT1.2,"Tweezers, straight with slant end, stainless steel, gum rubber",No decor
pCT1.3,"Tweezers, straight with slant end, stainless steel, gum rubber",No decor
pCT1.4,"Tweezers, straight with slant end, stainless steel, gum rubber",No decor
pCT1.5,"Tweezers, straight with slant end, stainless steel",No decor
pCT8,"Tweezers, orbed with slant end, stainless steel, gum rubber",No decor (color of the ribbon may vary)
pCT9,"Tweezers, orbed with slant end, stainless steel",No decor (color of the ribbon may vary)
pCT13,"Tweezers, curly with slant end, stainless steel",No decor (color of the ribbon may vary)
pCT14,"Tweezers, binary with slant end, stainless steel",No decor (color of the ribbon may vary)
pCT20,"Tweezers, curly with slant end, chrome metal",No decor
pCT22,"Tweezers, curly-binary with slant end, chrome metal",No decor
pCT26,"Tweezers, straight with slant end, stainless steel",No decor
HBMB-16.3,"Hair Brush SW (62 crystals) Oblong Styling Brush, Walnut, Pure naturally selected boar bristles, rounded polyamide pins, L=244mm",Flowers Fuchsia
9044,"Hair Brush, Oblong Styling Brush, Walnut, Pure naturally selected boar bristles, rounded polyamide pins, L=244mm",No decor
9045,"Hair Brush, Wellness Brush, Oval Paddle, Walnut, Pure naturally selected boar bristles, rounded polyamide pins, L=230mm",No decor
